"熟語","読み","構成","意味","出題級","承認","確認日","メモ"
"高地","こうち","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"高低","こうてい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"国旗","こっき","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"黒板","こくばん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"左右","さゆう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"災害","さいがい","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"作文","さくぶん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"思考","しこう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"失礼","しつれい","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"主食","しゅしょく","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"就職","しゅうしょく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"終日","しゅうじつ","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"集合","しゅうごう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"集散","しゅうさん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"縦横","じゅうおう","ア","反対や対になる意味の字を組み合わせたもの","5級から","","",""
"出港","しゅっこう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"出入","しゅつにゅう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"初雪","はつゆき","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"勝敗","しょうはい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"消火","しょうか","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"上下","うえした","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"乗車","じょうしゃ","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"新旧","しんきゅう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"新年","しんねん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"新品","しんぴん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"新聞","しんぶん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"森林","しんりん","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"深海","しんかい","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"深浅","しんせん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"親友","しんゆう","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"身体","からだ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"晴天","せいてん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"生産","せいさん","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"製造","せいぞう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"青空","あおぞら","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"洗顔","せんがん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"前回","ぜんかい","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"前後","ぜんご","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"善悪","ぜんあく","ア","反対や対になる意味の字を組み合わせたもの","5級から","","",""
"全国","ぜんこく","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"増加","ぞうか","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"増減","ぞうげん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"造船","ぞうせん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"損得","そんとく","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"多少","たしょう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"退場","たいじょう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"大小","だいしょう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"大木","たいぼく","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"男女","だんじょ","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"談話","だんわ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"着席","ちゃくせき","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"着陸","ちゃくりく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"朝日","あさひ","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"調査","ちょうさ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"長短","ちょうたん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"長文","ちょうぶん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"停止","ていし","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"天地","てんち","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"点火","てんか","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"登校","とうこう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"登山","とざん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"投票","とうひょう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"東西","とうざい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"道路","どうろ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"読書","どくしょ","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"内外","ないがい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"南北","なんぼく","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"入学","にゅうがく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"入港","にゅうこう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"入場","にゅうじょう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"売買","ばいばい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"白紙","はくし","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"発光","はっこう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"美人","びじん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"貧困","ひんこん","イ","同じような意味の字を組み合わせたもの","5級から","","",""
"負傷","ふしょう","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"閉店","へいてん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"閉幕","へいまく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"変化","へんか","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"豊富","ほうふ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"豊満","ほうまん","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"本店","ほんてん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"毎日","まいにち","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"満月","まんげつ","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"無視","むし","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"名画","めいが","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"明暗","めいあん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"夕日","ゆうひ","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"羊毛","ようもう","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"冷水","れいすい","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"老人","ろうじん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
