"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"四","1年","6級から","5","シ","よ・よつ・よっ（つ）・よん","四季（しき）・四角（しかく）・四十七士（しじゅうしちし）・四人（よにん）","囗","","","未校正",""
"糸","1年","6級から","6","シ","いと","毛糸（けいと）・生糸（きいと）・蚕糸（さんし）・糸目（いとめ）・製糸（せいし）","糸","","","未校正",""
"字","1年","6級から","6","ジ","あざ","文字（もじ）・数字（すうじ）・漢字（かんじ）・赤字（あかじ）・活字（かつじ）","","","","未校正",""
"耳","1年","6級から","6","ジ","みみ","耳鼻科（じびか）・初耳（はつみみ）・早耳（はやみみ）","耳","","","未校正",""
"七","1年","6級から","2","シチ","なな・なな（つ）・なの","七五三（しちごさん）・七福神（しちふくじん）・四十七士（しじゅうしちし）・七日（なのか）・七曜表（しちようひょう）","","","","未校正",""
"車","1年","6級から","7","シャ","くるま","電車（でんしゃ）・列車（れっしゃ）・乗車（じょうしゃ）・下車（げしゃ）・停車（ていしゃ）","車","","","未校正",""
"手","1年","6級から","4","シュ","て・た","相手（あいて）・選手（せんしゅ）・手段（しゅだん）・勝手（かって）・右手（みぎて）","手","","","未校正",""
"十","1年","6級から","2","ジュウ・ジッ","とお・と","十二月（じゅうにがつ）・何十（なんじゅう）・三十分（さんじゅっぷん）・四十七士（しじゅうしちし）・十回（じっかい）","十","","","未校正",""
"出","1年","6級から","5","シュツ・スイ","で（る）・だ（す）","出版（しゅっぱん）・提出（ていしゅつ）・出席（しゅっせき）・出来事（できごと）・輸出（ゆしゅつ）","","","","未校正",""
"女","1年","6級から","3","ジョ・ニョ・ニョウ","おんな・め","少女（しょうじょ）・女子（じょし）・男女（だんじょ）・長女（ちょうじょ）・女神（めがみ）","女","","","未校正",""
"小","1年","6級から","3","ショウ","ちい（さい）・こ・お","小説（しょうせつ）・小型（こがた）・縮小（しゅくしょう）・小川（おがわ）・小銭（こぜに）","小","","","未校正",""
"上","1年","6級から","3","ジョウ・ショウ","うえ・うわ・かみ・あ（げる）・あ（がる）・のぼ（る）・のぼ（せる）・のぼ（す）","以上（いじょう）・向上（こうじょう）・上司（じょうし）・上映（じょうえい）・地上（ちじょう）","","","","未校正","揚げる・挙げる・揚がる・挙がる・昇る・登る"
"森","1年","6級から","12","シン","もり","森林（しんりん）・森厳（しんげん）","木","","","未校正",""
"人","1年","6級から","2","ジン・ニン","ひと","人間（にんげん）・個人（こじん）・人物（じんぶつ）・人口（じんこう）・人権（じんけん）","人","","","未校正",""
"水","1年","6級から","4","スイ","みず","水分（すいぶん）・水泳（すいえい）・海水（かいすい）・水田（すいでん）・香水（こうすい）","水","","","未校正",""
"正","1年","6級から","5","セイ・ショウ","ただ（しい）・ただ（す）・まさ","正直（しょうじき）・正確（せいかく）・正義（せいぎ）・正面（しょうめん）・正月（しょうがつ）","","","","未校正",""
"生","1年","6級から","5","セイ・ショウ","い（きる）・い（かす）・い（ける）・う（まれる）・う（む）・おう・は（える）・は（やす）・き・なま","先生（せんせい）・生活（せいかつ）・生産（せいさん）・発生（はっせい）・誕生（たんじょう）","生","","","未校正","産まれる・産む"
"青","1年","6級から","8","セイ・ショウ","あお・あお（い）","青年（せいねん）・青春（せいしゅん）・青空（あおぞら）・青銅（せいどう）・群青（ぐんじょう）","青","","","未校正",""
"夕","1年","6級から","3","セキ","ゆう","夕方（ゆうがた）・夕日（ゆうひ）・一朝一夕（いっちょういっせき）・夕立（ゆうだち）・今夕（こんせき）","夕","","","未校正",""
"石","1年","6級から","5","セキ・シャク・コク","いし","石油（せきゆ）・石炭（せきたん）・宝石（ほうせき）・化石（かせき）・磁石（じしゃく）","石","","","未校正",""
"赤","1年","6級から","7","セキ・シャク","あか・あか（い）・あか（らむ）・あか（らめる）","赤字（あかじ）・赤道（せきどう）・赤土（あかつち）・赤飯（せきはん）・赤組（あかぐみ）","赤","","","未校正",""
"千","1年","6級から","3","セン","ち","千差万別（せんさばんべつ）・群千鳥（むらちどり）・千円（せんえん）・千人力（せんにんりき）・千石船（せんごくぶね）","","","","未校正",""
"川","1年","6級から","3","セン","かわ","神奈川（かながわ）・川崎（かわさき）・小川（おがわ）・河川（かせん）・川上（かわかみ）","川","巛","","未校正","河"
"先","1年","6級から","6","セン","さき","先生（せんせい）・先方（せんぽう）・指先（ゆびさき）・率先（そっせん）・旅先（たびさき）","儿","八","","未校正",""
"早","1年","6級から","6","ソウ・サッ","はや（い）・はや（まる）・はや（める）","早速（さっそく）・早朝（そうちょう）・早急（そうきゅう）・早口（はやくち）・早晩（そうばん）","日","","","未校正","速い・速まる・速める"
"草","1年","6級から","9","ソウ","くさ","草案（そうあん）・雑草（ざっそう）・牧草（ぼくそう）・草花（くさばな）・千草（ちぐさ）","艹","艸","","未校正",""
"足","1年","6級から","7","ソク","あし・た（りる）・たる・た（す）","満足（まんぞく）・補足（ほそく）・足音（あしおと）・遠足（えんそく）・足下（あしもと）","足","","","未校正","脚"
"村","1年","6級から","7","ソン","むら","市町村（しちょうそん）・農村（のうそん）・村長（そんちょう）・漁村（ぎょそん）・村落（そんらく）","木","","","未校正",""
"大","1年","6級から","3","ダイ・タイ","おお・おお（きい）・おお（いに）","大学（だいがく）・大変（たいへん）・大臣（だいじん）・最大（さいだい）・大阪（おおさか）","大","","","未校正",""
"男","1年","6級から","7","ダン・ナン","おとこ","男性（だんせい）・男女（だんじょ）・男子（だんし）・長男（ちょうなん）・美男（びなん）","田","","","未校正",""
"竹","1年","6級から","6","チク","たけ","竹林（ちくりん）・松竹梅（しょうちくばい）","竹","","","未校正",""
"中","1年","6級から","4","チュウ・ジュウ","なか","中心（ちゅうしん）・中央（ちゅうおう）・中間（ちゅうかん）・中止（ちゅうし）・背中（せなか）","丨","","","未校正","仲"
"虫","1年","6級から","6","チュウ","むし","幼虫（ようちゅう）・害虫（がいちゅう）・毛虫（けむし）・弱虫（よわむし）・苦虫（にがむし）","虫","","","未校正",""
"町","1年","6級から","7","チョウ","まち","市町村（しちょうそん）・城下町（じょうかまち）・町会（ちょうかい）","田","","","未校正","街"
"天","1年","6級から","4","テン","あめ・あま","天然（てんねん）・天井（てんじょう）・天文学（てんもんがく）・晴天（せいてん）・天地（てんち）","","","","未校正",""
"田","1年","6級から","5","デン","た","水田（すいでん）・油田（ゆでん）・田地（でんち）","田","","","未校正",""
"土","1年","6級から","3","ド・ト","つち","土地（とち）・国土（こくど）・領土（りょうど）・土木（どぼく）・郷土（きょうど）","土","","","未校正",""
"二","1年","6級から","2","ニ","ふた・ふた（つ）","十二月（じゅうにがつ）・二分（にぶん）・一石二鳥（いっせきにちょう）・二重（にじゅう）・二倍（にばい）","二","","","未校正","双"
"日","1年","6級から","4","ニチ・ジツ","ひ・か","今日（きょう）・昨日（きのう）・毎日（まいにち）・明日（あす）・日常（にちじょう）","日","","","未校正",""
"入","1年","6級から","2","ニュウ","いる・い（れる）・はい（る）","導入（どうにゅう）・収入（しゅうにゅう）・入学（にゅうがく）・加入（かにゅう）・入場（にゅうじょう）","入","","","未校正","要る"
"年","1年","6級から","6","ネン","とし","今年（ことし）・昨年（さくねん）・年代（ねんだい）・少年（しょうねん）・来年（らいねん）","","","","未校正",""
"白","1年","6級から","5","ハク・ビャク","しろ・しら・しろ（い）","告白（こくはく）・明白（めいはく）・白黒（しろくろ）・紅白（こうはく）・白米（はくまい）","白","","","未校正",""
"八","1年","6級から","2","ハチ","や・やつ・やっ（つ）・よう","八月（はちがつ）・八方（はっぽう）・八重桜（やえざくら）・八日（ようか）","八","","","未校正",""
"百","1年","6級から","6","ヒャク","","百貨店（ひゃっかてん）・九百（きゅうひゃく）・数百（すうひゃく）・百科全書（ひゃっかぜんしょ）・百分率（ひゃくぶんりつ）","","","","未校正",""
"文","1年","6級から","4","ブン・モン","ふみ","文化（ぶんか）・文字（もじ）・文章（ぶんしょう）・文学（ぶんがく）・文庫（ぶんこ）","文","","","未校正",""
"木","1年","6級から","4","ボク・モク","き・こ","木造（もくぞう）・栃木（とちぎ）・土木（どぼく）・樹木（じゅもく）・植木（うえき）","木","","","未校正",""
"本","1年","6級から","5","ホン","もと","資本（しほん）・本来（ほんらい）・本質（ほんしつ）・本部（ほんぶ）・絵本（えほん）","","","","未校正","下・元・基"
"名","1年","6級から","6","メイ・ミョウ","な","名前（なまえ）・有名（ゆうめい）・署名（しょめい）・氏名（しめい）・無名（むめい）","","","","未校正",""
"目","1年","6級から","5","モク・ボク","め・ま","目的（もくてき）・目標（めじるし）・目次（もくじ）・役目（やくめ）・目前（もくぜん）","目","","","未校正",""
"立","1年","6級から","5","リツ・リュウ","た（つ）・た（てる）","立場（たちば）・独立（どくりつ）・設立（せつりつ）・対立（たいりつ）・私立（しりつ）","立","","","未校正","建つ・建てる"
"力","1年","6級から","2","リョク・リキ","ちから","能力（のうりょく）・努力（どりょく）・協力（きょうりょく）・権力（けんりょく）・圧力（あつりょく）","力","","","未校正",""
"林","1年","6級から","8","リン","はやし","森林（しんりん）・林業（りんぎょう）・山林（さんりん）・竹林（ちくりん）・雑木林（ぞうきばやし）","木","","","未校正",""
"六","1年","6級から","4","ロク","む・むつ・むっ（つ）・むい","六月（ろくがつ）・六法（ろっぽう）・六大州（ろくだいしゅう）・六日（むいか）","","","","未校正",""
"引","2年","6級から","4","イン","ひ（く）・ひ（ける）","引退（いんたい）・強引（ごういん）・引率（いんそつ）・引力（いんりょく）・字引（じびき）","弓","","","未校正","弾く"
"羽","2年","6級から","6","ウ","は・はね","羽毛（うもう）・羽化（うか）・羽衣（はごろも）","羽","","","未校正",""
"雲","2年","6級から","12","ウン","くも","雨雲（あまぐも）・風雲（ふううん）・雲海（うんかい）・積乱雲（せきらんうん）・層雲（そううん）","雨","","","未校正",""
"園","2年","6級から","13","エン","その","公園（こうえん）・庭園（ていえん）・園芸（えんげい）・楽園（らくえん）・花園（はなぞの）","囗","","","未校正",""
"遠","2年","6級から","13","エン・オン","とお（い）","永遠（えいえん）・望遠鏡（ぼうえんきょう）・敬遠（けいえん）・遠足（えんそく）・遠出（とおで）","⻌","辶","","未校正",""
"何","2年","6級から","7","カ","なに・なん","何事（なにごと）・何者（なにもの）・何十（なんじゅう）・何点（なんてん）・何本（なにもと）","亻","人","","未校正",""
"科","2年","6級から","9","カ","","科学（かがく）・歯科（しか）・理科（りか）・教科（きょうか）・外科（げか）","禾","","","未校正",""
"夏","2年","6級から","10","カ・ゲ","なつ","真夏（まなつ）・初夏（しょか）・夏季（かき）・夏至（げし）・常夏（とこなつ）","","","","未校正",""
"家","2年","6級から","10","カ・ケ","いえ・や","家族（かぞく）・国家（こっか）・家庭（かてい）・作家（さっか）・画家（がか）","宀","","","未校正","屋"
"歌","2年","6級から","14","カ","うた・うた（う）","歌詞（かし）・歌声（うたごえ）・短歌（たんか）・歌曲（かきょく）・詩歌（しか）","欠","","","未校正","唄・謡う"
"画","2年","6級から","8","ガ・カク","","映画（えいが）・計画（けいかく）・絵画（かいが）・画家（がか）・画期的（かっきてき）","","","","未校正",""
"回","2年","6級から","6","カイ・エ","まわ（る）・まわ（す）","回答（かいとう）・次回（じかい）・回転（かいてん）・回収（かいしゅう）・転回（てんかい）","囗","","","未校正","周り"
"会","2年","6級から","6","カイ・エ","あ（う）","社会（しゃかい）・会社（かいしゃ）・会議（かいぎ）・機会（きかい）・会場（かいじょう）","人","","","未校正","合う・遭う"
"海","2年","6級から","9","カイ","うみ","海外（かいがい）・海岸（かいがん）・海洋（かいよう）・航海（こうかい）・海水（かいすい）","氵","水","","未校正",""
"絵","2年","6級から","12","カイ・エ","","絵本（えほん）・絵画（かいが）・油絵（あぶらえ）・絵図（えず）・絵馬（えま）","糸","","","未校正",""
"外","2年","6級から","5","ガイ・ゲ","そと・ほか・はず（す）・はず（れる）","外国（がいこく）・海外（かいがい）・例外（れいがい）・外出（がいしゅつ）・除外（じょがい）","夕","","","未校正","他"
"角","2年","6級から","7","カク","かど・つの","角度（かくど）・三角（さんかく）・街角（まちかど）・方角（ほうがく）・四角（しかく）","角","","","未校正",""
"楽","2年","6級から","13","ガク・ラク","たの（しい）・たの（しむ）","音楽（おんがく）・楽器（がっき）・快楽（かいらく）・楽園（らくえん）・洋楽（ようがく）","木","","","未校正",""
"活","2年","6級から","9","カツ","","生活（せいかつ）・活動（かつどう）・復活（ふっかつ）・活力（かつりょく）・活字（かつじ）","氵","水","","未校正",""
"間","2年","6級から","12","カン・ケン","あいだ・ま","時間（じかん）・人間（にんげん）・期間（きかん）・仲間（ちゅうげん）・世間（せけん）","門","","","未校正",""
"丸","2年","6級から","3","ガン","まる・まる（い）・まる（める）","丸太（まるた）・丸木橋（まるきばし）・丸薬（がんやく）","","","","未校正","円い"
"岩","2年","6級から","8","ガン","いわ","岩石（がんせき）・岩場（いわば）・岩塩（がんえん）・火成岩（かせいがん）","山","","","未校正",""
"顔","2年","6級から","18","ガン","かお","顔面（がんめん）・素顔（すがお）・横顔（よこがお）・童顔（どうがん）・厚顔（こうがん）","頁","","","未校正",""
"汽","2年","6級から","7","キ","","汽車（きしゃ）・汽笛（きてき）・汽船（きせん）","氵","水","","未校正",""
"記","2年","6級から","10","キ","しる（す）","記録（きろく）・記入（きにゅう）・記号（きごう）・登記（とうき）・筆記（ひっき）","言","","","未校正",""
"帰","2年","6級から","10","キ","かえ（る）・かえ（す）","帰宅（きたく）・復帰（ふっき）・帰省（きせい）・帰納（きのう）・帰京（ききょう）","","","","未校正","返る・返す"
"弓","2年","6級から","3","キュウ","ゆみ","弓道（きゅうどう）・弓矢（ゆみや）・弓状（きゅうじょう）・洋弓（ようきゅう）","弓","","","未校正",""
"牛","2年","6級から","4","ギュウ","うし","牛乳（ぎゅうにゅう）・牛馬（ぎゅうば）","牛","","","未校正",""
"魚","2年","6級から","11","ギョ","うお・さかな","金魚（きんぎょ）・魚屋（さかなや）・魚類（ぎょるい）・魚市場（うおいちば）","魚","","","未校正",""
"京","2年","6級から","8","キョウ・ケイ","","上京（じょうきょう）・京阪（けいはん）・帰京（ききょう）・京風（きょうふう）","亠","","","未校正",""
"強","2年","6級から","11","キョウ・ゴウ","つよ（い）・つよ（まる）・つよ（める）・し（いる）","勉強（べんきょう）・強引（ごういん）・強要（きょうよう）・強風（きょうふう）・強弱（きょうじゃく）","弓","","","未校正",""
"教","2年","6級から","11","キョウ","おし（える）・おそ（わる）","教育（きょういく）・宗教（しゅうきょう）・教授（きょうじゅ）・教師（きょうし）・教訓（きょうくん）","攵","攴","","未校正",""
"近","2年","6級から","7","キン","ちか（い）","最近（さいきん）・近代（きんだい）・近所（きんじょ）・接近（せっきん）・近道（ちかみち）","⻌","辶","","未校正",""
"兄","2年","6級から","5","ケイ・キョウ","あに","兄弟（きょうだい）・父兄（ふけい）・義兄（ぎけい）・兄事（けいじ）","","","","未校正",""
"形","2年","6級から","7","ケイ・ギョウ","かた・かたち","形式（けいしき）・形成（けいせい）・形態（けいたい）・人形（にんぎょう）・図形（ずけい）","彡","","","未校正","型"
"計","2年","6級から","9","ケイ","はか（る）・はか（らう）","計画（けいかく）・計算（けいさん）・会計（かいけい）・統計（とうけい）・合計（ごうけい）","言","","","未校正","測る・量る・図る・謀る"
"元","2年","6級から","4","ゲン・ガン","もと","元気（げんき）・地元（じもと）・次元（じげん）・元来（がんらい）・元祖（がんそ）","","","","未校正","下・本・基"
"言","2年","6級から","7","ゲン・ゴン","い（う）・こと","言葉（ことば）・宣言（せんげん）・言論（げんろん）・無言（むごん）・遺言（ゆいごん）","言","","","未校正",""
"原","2年","6級から","10","ゲン","はら","原因（げんいん）・原理（げんり）・高原（こうげん）・原型（げんけい）・野原（のはら）","厂","","","未校正",""
"戸","2年","6級から","4","コ","と","井戸（いど）・門戸（もんこ）・雨戸（あまど）・戸外（こがい）・納戸（なんど）","戸","","","未校正",""
"古","2年","6級から","5","コ","ふる（い）・ふるす","古代（こだい）・古典（こてん）・太古（たいこ）・古株（ふるかぶ）・古傷（ふるきず）","","","","未校正",""
"午","2年","6級から","4","ゴ","","午後（ごご）・午前（ごぜん）・正午（しょうご）・子午線（しごせん）","","","","未校正",""
"後","2年","6級から","9","ゴ・コウ","のち・うし（ろ）・あと・おく（れる）","今後（こんご）・午後（ごご）・前後（ぜんご）・以後（いご）・背後（はいご）","彳","","","未校正","跡・痕・遅れる"
"語","2年","6級から","14","ゴ","かた（る）・かた（らう）","物語（ものがたり）・国語（こくご）・語学（ごがく）・落語（らくご）・漢語（かんご）","言","","","未校正",""
"工","2年","6級から","3","コウ・ク","","工場（こうじょう）・工夫（くふう）・加工（かこう）・人工（じんこう）・大工（だいく）","工","","","未校正",""
"公","2年","6級から","4","コウ","おおやけ","公共（こうきょう）・公園（こうえん）・公平（こうへい）・公私（こうし）","八","","","未校正",""
"広","2年","6級から","5","コウ","ひろ（い）・ひろ（まる）・ひろ（める）・ひろ（がる）・ひろ（げる）","広場（ひろば）・広大（こうだい）・広義（こうぎ）・広言（こうげん）","广","","","未校正",""
"交","2年","6級から","6","コウ","まじ（わる）・まじ（える）・ま（じる）・ま（ざる）・ま（ぜる）・かう・か（わす）","交通（こうつう）・交付（こうふ）・交代（こうたい）・交際（こうさい）・社交（しゃこう）","亠","","","未校正","混じる・混ざる・混ぜる"
"光","2年","6級から","6","コウ","ひか（る）・ひかり","観光（かんこう）・光景（こうけい）・栄光（えいこう）・日光（にっこう）・光線（こうせん）","","","","未校正",""
"考","2年","6級から","6","コウ","かんが（える）","参考（さんこう）・思考（しこう）・考察（こうさつ）・備考（びこう）","耂","老","","未校正",""
"行","2年","6級から","6","コウ・ギョウ・アン","い（く）・ゆ（く）・おこな（う）","旅行（りょこう）・行政（ぎょうせい）・銀行（ぎんこう）・流行（りゅうこう）・修行（しゅぎょう）","行","","","未校正","逝く・逝く"
"高","2年","6級から","10","コウ","たか（い）・たか・たか（まる）・たか（める）","最高（さいこう）・高級（こうきゅう）・高原（こうげん）・高層（こうそう）・高山（こうざん）","高","","","未校正",""
"黄","2年","6級から","11","コウ・オウ","き・こ","黄金（おうごん）・卵黄（らんおう）・黄葉（もみじ）","黄","","","未校正",""
"合","2年","6級から","6","ゴウ・ガッ・カッ","あ（う）・あ（わす）・あ（わせる）","試合（しあい）・総合（そうごう）・連合（れんごう）・都合（つごう）・合計（ごうけい）","","","","未校正","会う・遭う・併せる"
"谷","2年","6級から","7","コク","たに","谷川（たにがわ）","谷","","","未校正",""
"国","2年","6級から","8","コク","くに","国民（こくみん）・国際（こくさい）・国家（こっか）・外国（がいこく）・全国（ぜんこく）","囗","","","未校正",""
"黒","2年","6級から","11","コク","くろ・くろ（い）","白黒（しろくろ）・暗黒（あんこく）・黒板（こくばん）・大黒柱（だいこくばしら）・黒白（くろしろ）","黒","黑","","未校正",""
"今","2年","6級から","4","コン・キン","いま","今日（きょう）・今後（こんご）・今年（ことし）・今朝（けさ）・昨今（さっこん）","人","","","未校正",""
"才","2年","6級から","3","サイ","","才能（さいのう）・才覚（さいかく）・才媛（さいえん）","","","","未校正",""
"細","2年","6級から","11","サイ","ほそ（い）・ほそ（る）・こまか・こま（かい）","細工（さいく）・細心（さいしん）・委細（いさい）・貝細工（かいざいく）・細面（ほそおもて）","糸","","","未校正",""
"作","2年","6級から","7","サク・サ","つく（る）","作品（さくひん）・作業（さぎょう）・著作（ちょさく）・操作（そうさ）・作家（さっか）","亻","人","","未校正","造る・創る"
"算","2年","6級から","14","サン","","予算（よさん）・計算（けいさん）・算数（さんすう）・清算（せいさん）","竹","","","未校正",""
"止","2年","6級から","4","シ","と（まる）・と（める）","禁止（きんし）・停止（ていし）・中止（ちゅうし）・休止（きゅうし）・静止（せいし）","止","","","未校正","留まる・泊まる・留める・泊める"
"市","2年","6級から","5","シ","いち","都市（とし）・市民（しみん）・市町村（しちょうそん）・市街（しがい）・市井（しせい）","","","","未校正",""
"矢","2年","6級から","5","シ","や","矢印（やじるし）・弓矢（ゆみや）・矢面（やおもて）","矢","","","未校正",""
"姉","2年","6級から","8","シ","あね","姉妹（しまい）・姉上（あねうえ）・諸姉（しょし）","女","","","未校正",""
"思","2年","6級から","9","シ","おも（う）","思想（しそう）・思考（しこう）・意思（いし）・相思（そうし）","","","","未校正",""
"紙","2年","6級から","10","シ","かみ","用紙（ようし）・紙面（しめん）・新聞紙（しんぶんし）・型紙（かたがみ）・厚紙（あつがみ）","糸","","","未校正",""
"寺","2年","6級から","6","ジ","てら","寺院（じいん）・社寺（しゃじ）・末寺（まつじ）","","","","未校正",""
"自","2年","6級から","6","ジ・シ","みずか（ら）","自分（じぶん）・自由（じゆう）・自然（しぜん）・自己（じこ）・自宅（じたく）","自","","","未校正",""
"時","2年","6級から","10","ジ","とき","時間（じかん）・当時（とうじ）・時刻（じこく）・日時（にちじ）・臨時（りんじ）","日","","","未校正",""
"室","2年","6級から","9","シツ","むろ","室内（しつない）・皇室（こうしつ）・居室（きょしつ）","宀","","","未校正",""
"社","2年","6級から","7","シャ","やしろ","社会（しゃかい）・会社（かいしゃ）・社員（しゃいん）・神社（じんじゃ）・社交（しゃこう）","礻","示","","未校正",""
"弱","2年","6級から","10","ジャク","よわ（い）・よわ（る）・よわ（まる）・よわ（める）","弱点（じゃくてん）・貧弱（ひんじゃく）・強弱（きょうじゃく）・弱小（じゃくしょう）・弱虫（よわむし）","","","","未校正",""
"首","2年","6級から","9","シュ","くび","首相（しゅしょう）・首都（しゅと）・首脳（しゅのう）・首席（しゅせき）・乳首（ちくび）","首","","","未校正",""
"秋","2年","6級から","9","シュウ","あき","秋季（しゅうき）・晩秋（ばんしゅう）・秋分（しゅうぶん）・麦秋（ばくしゅう）","禾","","","未校正",""
"週","2年","6級から","11","シュウ","","週末（しゅうまつ）・週刊（しゅうかん）・毎週（まいしゅう）・再来週（さらいしゅう）","⻌","辶","","未校正",""
"春","2年","6級から","9","シュン","はる","青春（せいしゅん）・春季（しゅんき）・立春（りっしゅん）・暮春（ぼしゅん）・翌春（よくしゅん）","日","","","未校正",""
"書","2年","6級から","10","ショ","か（く）","図書館（としょかん）・読書（どくしょ）・聖書（せいしょ）・辞書（じしょ）・図書（としょ）","","","","未校正","描く"
"少","2年","6級から","4","ショウ","すく（ない）・すこ（し）","少年（しょうねん）・多少（たしょう）・少女（しょうじょ）・減少（げんしょう）・希少（きしょう）","","","","未校正",""
"場","2年","6級から","12","ジョウ","ば","場所（ばしょ）・立場（たちば）・会場（かいじょう）・工場（こうじょう）・劇場（げきじょう）","土","","","未校正",""
"色","2年","6級から","6","ショク・シキ","いろ","特色（とくしょく）・音色（ねいろ）・染色（せんしょく）・茶色（ちゃいろ）・灰色（はいいろ）","色","","","未校正",""
"食","2年","6級から","9","ショク・ジキ","く（う）・く（らう）・た（べる）","食事（しょくじ）・昼食（ちゅうしょく）・朝食（ちょうしょく）・食料（しょくりょう）・飲食（いんしょく）","食","","","未校正",""
"心","2年","6級から","4","シン","こころ","中心（ちゅうしん）・心配（しんぱい）・初心者（しょしんしゃ）・感心（かんしん）・心臓（しんぞう）","心","","","未校正",""
